"Timestamp","TZ","SRS-Ni630 (W/m2nm)","SRS-Ni800 (W/m2nm)","SRS-Niso","SRS-Nr630 (W/m2nm)","SRS-Nr800 (W/m2nm)","SRS-Nrso","NDVI","VP4_Temp1m (DegC)","VP4_RH1m (%)","VP4_Pressure1m (kPa)","VP4_Temp2m (DegC)","VP4_RH2m (%)","VP4_Pressure2m (kPa)","GS3_VWC20 (%)","GS3_Temp20 (DegC)","GS3_EC20 (uS/cm)","GS3_VWC40 (%)","GS3_Temp40 (DegC)","GS3_EC40 (uS/cm)","GS3_VWC60 (%)","GS3_Temp60 (DegC)","GS3_EC60 (uS/cm)","PYR (W/m2)","PAR (umol/m2s)","IRT (DegC)","LWS (mV)","Leaf (mV)","Bud (mV)"
2019/01/25 12:30:00.000,n,0.5857,0.5682,2,0.0116,0.0774,1,0.746126,15,27.5,101.87,15,27.2,101.86,22.48609,9.3,9,29.324324,11.3,31,29.518628,12.3,66,143.93666,314.4936,14.7322,269.73068,10.170692,1.219414
2019/01/25 13:00:00.008,n,0.5099,0.5763,2,0.0096,0.0726,1,0.739961,15.2,28.400002,101.85,15.1,28.600002,101.83,22.48609,9.2,8,29.36327,11.3,31,29.518628,12.2,66,157.64944,367.93612,16.4152,269.7326,9.194936,1.257881
2019/01/25 13:30:00.015,n,0.2462,0.2795,2,0.0049,0.0323,1,0.706162,14.3,30.1,101.79,14.1,30.000002,101.77,22.509138,9.2,7,29.36327,11.2,30,29.537998,12.2,66,136.25516,230.11996,12.8707,269.93,11.17244,1.202965
2019/01/25 14:00:00.000,n,0.3911,0.4691,2,0.005,0.0453,1,0.766179,12.8,37.7,101.73,12.6,37.5,101.75,22.532172,9.2,8,29.343804,11.3,31,29.537998,12.3,68,139.68964,375.19788,13.1509,270.52878,11.080182,1.294479
2019/01/25 14:30:00.000,n,0.3381,0.3581,2,0.0053,0.0453,1,0.779488,14,37.1,101.71,13.8,37.4,101.69,22.532172,9.2,7,29.343804,11.3,30,29.557362,12.2,67,138.85092,383.61272,14.6882,270.02398,10.481934,1.285202
2019/01/25 15:00:00.010,n,0.3073,0.3397,2,0.0064,0.0504,1,0.753813,13.3,41,101.73,13,41.7,101.73,22.555194,9.2,9,29.304836,11.3,31,29.460446,12.2,67,266.92474,385.57464,14.0209,270.2373,9.941392,1.269157
2019/01/25 15:30:00.000,n,0.1639,0.1717,2,0.0031,0.0203,1,0.724172,12.2,46.9,101.75,11.9,48.4,101.76,22.532172,9.3,8,29.28534,11.3,30,29.499244,12.3,65,99.255008,197.23472,10.7951,270.97602,11.953664,1.317635
2019/01/25 16:00:00.000,n,0.2642,0.3317,2,0.0043,0.0452,1,0.786611,11.3,51.5,101.82,11.1,52.499996,101.83,22.509138,9.3,10,29.304836,11.3,30,29.518628,12.3,66,161.1287,237.86694,11.3943,271.40796,11.206342,1.279213
2019/01/25 16:30:00.005,n,0.0161,0.0203,2,0.0002,0.0024,1,0.809836,10.7,56.199996,101.84,10.5,57.5,101.85,22.509138,9.4,9,29.28534,11.3,30,29.460446,12.3,65,9.97429,14.780884,8.2002,272.06774,14.549066,1.238129
2019/01/25 17:00:00.000,n,0.0094,0.0123,2,0.0002,0.0017,1,0.733189,9.4,70.1,101.84,9.5,70.5,101.83,22.509138,9.4,8,29.36327,11.3,30,29.479848,12.2,67,6.229744,8.968278,8.4837,272.91616,14.873936,1.250771
2019/01/25 17:30:00.000,n,0.0055,0.0083,2,0,0.0007,1,1,9,78.1,101.86,9.2,77.3,101.86,22.48609,9.5,9,29.28534,11.3,31,29.460446,12.2,66,3.890305,4.813271,7.9723,273.63422,15.472348,1.273766
2019/01/25 18:00:00.007,n,0.0002,0.001,2,0,0,1,Error,8.4,82.3,101.9,8.4,82.700008,101.88,22.48609,9.5,9,29.324324,11.3,30,29.518628,12.2,66,0.444412,0.840988,7.1698,274.24534,16.097786,1.271202
2019/01/25 18:30:00.000,n,0,0,2,0.0002,0,1,Error,7.6,84,101.96,7.7,84.799992,101.94,22.532172,9.5,7,29.304836,11.3,31,29.479848,12.3,66,0.045586,0.232239,6.7314,274.60662,16.614864,1.271042
2019/01/25 19:00:00.008,n,0,0,2,0,0,1,Error,7,84.3,101.99,6.9,85.9,101.98,22.532172,9.6,8,29.304836,11.3,31,29.479848,12.3,67,0.044746,0.235786,5.9154,274.84356,17.149368,1.377152
2019/01/25 19:30:00.000,n,0,0.0001,2,0.0001,0,1,Error,6.1,84.7,102,6,86.2,101.98,22.509138,9.6,9,29.304836,11.2,31,29.557362,12.3,65,0.050011,0.234108,4.9363,275.18012,17.955708,1.332184
2019/01/25 20:00:00.000,n,0,0,2,0,0,1,Error,5.3,86.1,101.98,5.2,87.9,101.95,22.463034,9.6,9,29.324324,11.2,30,29.499244,12.3,64,0.040321,0.23674,4.2991,275.4715,18.462856,1.351013
2019/01/25 20:30:00.001,n,0,0,2,0.0002,0,1,Error,4.3,86.5,101.95,4.2,88,101.94,22.509138,9.7,9,29.28534,11.2,30,29.479848,12.3,65,0.043869,0.235901,2.7315,275.59402,19.526256,1.287567
2019/01/25 21:00:00.008,n,0.001,0.0007,2,0.0001,0,1,-1,3.4,87.7,101.97,3.3,88.9,101.95,22.509138,9.6,9,29.26583,11.3,31,29.479848,12.2,66,0.041237,0.229836,2.4827,275.63886,19.94485,1.333321
2019/01/25 21:30:00.000,n,0,0.0002,2,0,0,1,Error,2.7,86.1,101.96,2.6,87,101.95,22.48609,9.6,10,29.304836,11.2,31,29.576714,12.3,66,0.048294,0.256157,2.1482,275.5324,20.29052,1.331841
2019/01/25 22:00:00.003,n,0,0.0001,2,0.0003,0,1,Error,2.4,87,101.96,2.3,88.6,101.96,22.463034,9.6,9,29.304836,11.2,31,29.518628,12.3,66,0.050087,0.258865,1.9416,275.77076,20.544384,1.318375
2019/01/25 22:30:00.012,n,0,0,2,0.0001,0,1,Error,2.3,87,101.96,2.2,88.200008,101.96,22.48609,9.7,9,29.304836,11.2,30,29.499244,12.3,66,0.050087,0.249214,2.1188,275.71972,20.481984,1.343941
2019/01/25 23:00:00.003,n,0,0,2,0,0,1,Error,2.1,86.9,101.97,1.9,88.200008,102,22.509138,9.7,8,29.304836,11.3,30,29.557362,12.2,66,0.052681,0.253601,1.5316,275.75604,20.911552,1.356224
2019/01/25 23:30:00.000,n,0,0,2,0,0.0002,1,Error,2.2,94.2,102,2.5,86.7,101.99,22.48609,9.7,9,29.324324,11.3,29,29.479848,12.3,65,0.044785,0.250092,2.5022,275.47064,19.89756,1.402428
2019/01/26 00:00:00.012,n,0.001,0,2,0,0,1,Error,2.2,87,102,2.3,86.2,102.02,22.48609,9.7,9,29.324324,11.3,31,29.596056,12.2,66,0.045662,0.243073,1.454,275.67098,20.795906,1.331024
