"Timestamp","TZ","SRS-Ni630 (W/m2nm)","SRS-Ni800 (W/m2nm)","SRS-Niso","SRS-Nr630 (W/m2nm)","SRS-Nr800 (W/m2nm)","SRS-Nrso","NDVI","VP4_Temp1m (DegC)","VP4_RH1m (%)","VP4_Pressure1m (kPa)","VP4_Temp2m (DegC)","VP4_RH2m (%)","VP4_Pressure2m (kPa)","GS3_VWC20 (%)","GS3_Temp20 (DegC)","GS3_EC20 (uS/cm)","GS3_VWC40 (%)","GS3_Temp40 (DegC)","GS3_EC40 (uS/cm)","GS3_VWC60 (%)","GS3_Temp60 (DegC)","GS3_EC60 (uS/cm)","PYR (W/m2)","PAR (umol/m2s)","IRT (DegC)","LWS (mV)","Leaf (mV)","Bud (mV)"
2019/01/26 12:30:00.000,n,0.7046,0.7632,2,0.0152,0.0896,1,0.689544,9,38.7,102.25,9,39,102.27,22.509138,9.1,8,29.36327,11.2,30,29.518628,12.2,66,174.6181,351.7824,10.7358,271.34622,12.419624,1.246948
2019/01/26 13:00:00.007,n,0.609,0.7375,2,0.0115,0.0943,1,0.742641,9.6,36.8,102.24,9.6,36.399996,102.26,22.532172,9,10,29.36327,11.1,30,29.557362,12.2,65,170.95508,440.38624,12.4946,271.20472,11.287736,1.262657
2019/01/26 13:30:00.001,n,0.3619,0.3777,2,0.0085,0.0684,1,0.77039,8.9,35.3,102.22,8.8,35.7,102.22,22.532172,9,9,29.36327,11.2,29,29.44103,12.2,66,129.7608,452.96628,9.6874,270.81424,12.38767,1.266655
2019/01/26 14:00:00.005,n,0.5191,0.5925,2,0.0067,0.0512,1,0.740095,9.3,36.899996,102.24,9.1,37.3,102.24,22.532172,9,8,29.382724,11.2,30,29.576714,12.2,66,58.369256,183.28702,10.9869,271.12494,11.399124,1.220367
2019/01/26 14:30:00.007,n,0.3933,0.4196,2,0.0068,0.0463,1,0.729073,10,35.8,102.18,9.7,36,102.2,22.532172,9.1,9,29.382724,11.2,31,29.479848,12.2,66,127.9298,433.29556,10.8168,270.76734,12.203522,1.276672
2019/01/26 15:00:00.005,n,0.3515,0.4155,2,0.0055,0.0557,1,0.790956,9.8,34.4,102.21,9.4,34.9,102.23,22.509138,9,7,29.36327,11.2,30,29.479848,12.2,66,307.2369,437.35136,9.8359,270.79682,11.975694,1.268555
2019/01/26 15:30:00.001,n,0.3097,0.3923,2,0.0057,0.0592,1,0.782589,10.2,37.7,102.24,10,38.4,102.26,22.578206,9,8,29.36327,11.2,29,29.460446,12.2,66,176.1038,404.34964,11.0995,270.4663,11.952812,1.271492
2019/01/26 16:00:00.000,n,0.2805,0.3381,2,0.0048,0.0541,1,0.806776,11.1,37.9,102.22,10.8,37.8,102.23,22.532172,9,9,29.36327,11.2,31,29.576714,12.2,68,191.8086,334.56922,11.4251,270.58338,10.697736,1.281189
2019/01/26 16:30:00.011,n,0.2481,0.2982,2,0.0036,0.0279,1,0.731469,10,45.100004,102.24,10.3,44.5,102.25,22.532172,9,9,29.382724,11.1,32,29.518628,12.2,66,82.198624,217.4382,11.5546,270.96406,9.654228,1.282585
2019/01/26 17:00:00.000,n,0.0499,0.055,2,0.0006,0.0082,1,0.85074,12.4,53.500004,102.25,12.4,53.899996,102.28,22.532172,9,7,29.36327,11.2,29,29.499244,12.2,66,34.04438,67.707456,9.8174,271.78704,13.062984,1.252365
2019/01/26 17:30:00.010,n,0.0196,0.0195,2,0.0003,0.0024,1,0.778786,10.3,61.1,102.25,10,62.800004,102.26,22.509138,9.1,7,29.343804,11.1,29,29.479848,12.3,66,11.880494,28.293266,5.8704,273.12696,16.27242,1.250794
2019/01/26 18:00:00.005,n,0.0027,0.0031,2,0,0.0004,1,1,7.1,68.3,102.27,6.8,70.6,102.26,22.555194,9.1,8,29.421604,11.1,31,29.479848,12.2,67,1.641159,3.687134,2.9081,273.85342,18.938396,1.304359
2019/01/26 18:30:00.000,n,0,0,2,0,0,1,Error,3.9,75.700008,102.3,3.9,76.9,102.29,22.509138,9.1,7,29.343804,11.2,30,29.537998,12.2,66,0.046501,0.242882,1.1538,274.20844,20.709384,1.313767
2019/01/26 19:00:00.007,n,0,0,2,0,0,1,Error,2.4,83,102.37,2.7,81.2,102.38,22.532172,9.1,8,29.343804,11.1,31,29.596056,12.2,66,0.053558,0.237732,2.427,274.55872,19.730824,1.320427
2019/01/26 19:30:00.014,n,0,0,2,0,0,1,Error,2.4,83.200008,102.42,2.6,82.5,102.44,22.532172,9.1,8,29.36327,11.2,30,29.615386,12.2,68,0.051765,0.242119,1.0372,274.77542,21.107228,1.327354
2019/01/26 20:00:00.005,n,0,0.0005,2,0,0,1,Error,2.4,87.7,102.45,2.9,81.8,102.46,22.555194,9.2,8,29.382724,11.1,32,29.479848,12.2,67,0.051804,0.25795,2.0765,274.35864,19.968258,1.325646
2019/01/26 20:30:00.000,n,0.0003,0,2,0.0002,0,1,Error,2.1,86.2,102.47,2.5,82.6,102.48,22.532172,9.1,9,29.382724,11.1,30,29.518628,12.2,65,0.048332,0.254517,2.2333,274.44898,19.897522,1.414314
2019/01/26 21:00:00.006,n,0.0005,0,2,0,0,1,Error,2.3,84.799992,102.48,2.6,83.200008,102.5,22.532172,9.2,9,29.343804,11.1,30,29.499244,12.2,66,0.046539,0.233459,1.0436,274.4988,20.797966,1.326202
2019/01/26 21:30:00.001,n,0,0.0001,2,0,0,1,Error,2.3,90.3,102.46,2.8,82,102.47,22.509138,9.2,9,29.40217,11.1,29,29.596056,12.2,66,0.046539,0.251846,2.3053,274.29446,19.7266,1.317032
2019/01/26 22:00:00.005,n,0,0,2,0,0,1,Error,2.1,85.9,102.46,2.4,83.8,102.47,22.509138,9.2,9,29.382724,11.2,30,29.596056,12.2,66,0.049171,0.250969,1.7113,274.56278,20.18002,1.328415
2019/01/26 22:30:00.000,n,0,0,2,0.0002,0,1,Error,2.3,86.299992,102.45,2.8,83,102.46,22.555194,9.2,8,29.36327,11.1,30,29.537998,12.2,65,0.055313,0.239563,1.3526,274.48916,21.01567,1.323067
2019/01/26 23:00:00.000,n,0.0001,0,2,0.0001,0,1,Error,2.2,92.5,102.43,2.7,83.8,102.45,22.48609,9.1,7,29.343804,11.1,31,29.615386,12.2,66,0.049171,0.252724,2.5662,274.3874,19.358006,1.319786
2019/01/26 23:30:00.008,n,0.0004,0.0003,2,0,0,1,Error,2.1,87.1,102.5,2.4,84.799992,102.51,22.555194,9.1,8,29.382724,11.1,30,29.596056,12.2,65,0.051804,0.234299,1.5723,274.79642,20.308648,1.421181
2019/01/27 00:00:00.011,n,0,0.0001,2,0,0,1,Error,2.3,90.3,102.49,2.8,85.399992,102.51,22.578206,9.2,8,29.421604,11.1,30,29.537998,12.2,66,0.054436,0.258827,1.4712,274.60068,20.456318,1.330147
